cellID	bio_celltype	layer
cell_type2_208	cell_type2	disease
cell_type2_209	cell_type2	disease
cell_type2_210	cell_type2	normal
cell_type2_211	cell_type2	normal
cell_type2_212	cell_type2	disease
cell_type2_213	cell_type2	normal
cell_type2_214	cell_type2	disease
cell_type2_215	cell_type2	disease
cell_type2_216	cell_type2	disease
cell_type2_217	cell_type2	disease
cell_type2_218	cell_type2	normal
cell_type2_219	cell_type2	normal
cell_type2_220	cell_type2	disease
cell_type2_221	cell_type2	disease
cell_type2_222	cell_type2	disease
cell_type2_223	cell_type2	disease
cell_type2_224	cell_type2	normal
cell_type2_225	cell_type2	disease
cell_type2_226	cell_type2	disease
cell_type2_227	cell_type2	disease
cell_type2_228	cell_type2	normal
cell_type2_229	cell_type2	disease
cell_type2_230	cell_type2	normal
cell_type2_231	cell_type2	disease
cell_type2_232	cell_type2	disease
cell_type2_233	cell_type2	disease
cell_type2_234	cell_type2	disease
cell_type2_235	cell_type2	disease
cell_type2_236	cell_type2	disease
cell_type2_237	cell_type2	disease
cell_type2_238	cell_type2	disease
cell_type2_239	cell_type2	normal
cell_type2_240	cell_type2	disease
cell_type2_241	cell_type2	disease
cell_type2_242	cell_type2	disease
cell_type2_243	cell_type2	disease
cell_type2_244	cell_type2	normal
cell_type2_245	cell_type2	disease
cell_type2_246	cell_type2	disease
cell_type2_247	cell_type2	disease
cell_type2_248	cell_type2	normal
cell_type2_249	cell_type2	disease
cell_type2_250	cell_type2	disease
cell_type2_251	cell_type2	normal
cell_type2_252	cell_type2	normal
cell_type2_253	cell_type2	normal
cell_type2_254	cell_type2	disease
cell_type2_255	cell_type2	normal
cell_type2_256	cell_type2	disease
cell_type2_257	cell_type2	normal
cell_type2_258	cell_type2	normal
cell_type2_259	cell_type2	disease
cell_type2_260	cell_type2	normal
cell_type2_261	cell_type2	disease
cell_type2_262	cell_type2	disease
cell_type2_263	cell_type2	disease
cell_type2_264	cell_type2	normal
cell_type2_265	cell_type2	disease
cell_type2_266	cell_type2	disease
cell_type2_267	cell_type2	disease
cell_type2_268	cell_type2	disease
cell_type2_269	cell_type2	disease
cell_type2_270	cell_type2	disease
cell_type2_271	cell_type2	normal
cell_type2_272	cell_type2	disease
cell_type2_273	cell_type2	normal
cell_type2_274	cell_type2	disease
cell_type2_275	cell_type2	disease
cell_type2_276	cell_type2	disease
cell_type2_277	cell_type2	disease
cell_type2_278	cell_type2	disease
cell_type2_279	cell_type2	disease
cell_type2_280	cell_type2	disease
cell_type2_281	cell_type2	disease
cell_type2_282	cell_type2	disease
cell_type2_283	cell_type2	normal
cell_type2_284	cell_type2	disease
cell_type2_285	cell_type2	disease
cell_type2_286	cell_type2	normal
cell_type2_287	cell_type2	disease
cell_type2_288	cell_type2	disease
cell_type2_289	cell_type2	disease
cell_type2_290	cell_type2	disease
cell_type2_291	cell_type2	disease
cell_type2_292	cell_type2	disease
cell_type2_293	cell_type2	disease
cell_type2_294	cell_type2	disease
cell_type2_295	cell_type2	normal
cell_type2_296	cell_type2	normal
cell_type2_297	cell_type2	normal
cell_type2_298	cell_type2	disease
cell_type2_299	cell_type2	disease
cell_type2_300	cell_type2	disease
cell_type2_301	cell_type2	normal
cell_type2_302	cell_type2	disease
cell_type2_303	cell_type2	disease
cell_type2_304	cell_type2	disease
cell_type2_305	cell_type2	disease
cell_type2_306	cell_type2	disease
cell_type2_307	cell_type2	disease
cell_type2_308	cell_type2	normal
cell_type2_309	cell_type2	normal
cell_type2_310	cell_type2	disease
cell_type2_311	cell_type2	disease
cell_type2_312	cell_type2	disease
cell_type2_313	cell_type2	normal
cell_type2_314	cell_type2	disease
cell_type2_315	cell_type2	disease
cell_type2_316	cell_type2	disease
cell_type2_317	cell_type2	disease
cell_type2_318	cell_type2	disease
cell_type2_319	cell_type2	normal
cell_type2_320	cell_type2	disease
cell_type2_321	cell_type2	normal
cell_type2_322	cell_type2	disease
cell_type2_323	cell_type2	normal
cell_type2_324	cell_type2	normal
cell_type2_325	cell_type2	disease
cell_type2_326	cell_type2	disease
cell_type2_327	cell_type2	disease
cell_type2_328	cell_type2	disease
cell_type2_329	cell_type2	disease
cell_type2_330	cell_type2	disease
cell_type2_331	cell_type2	disease
cell_type2_332	cell_type2	disease
cell_type2_333	cell_type2	disease
cell_type2_334	cell_type2	disease
cell_type2_335	cell_type2	disease
cell_type2_336	cell_type2	disease
cell_type2_337	cell_type2	normal
cell_type2_338	cell_type2	normal
cell_type2_339	cell_type2	normal
cell_type2_340	cell_type2	disease
cell_type2_341	cell_type2	disease
cell_type2_342	cell_type2	normal
cell_type2_343	cell_type2	normal
cell_type2_344	cell_type2	normal
cell_type2_345	cell_type2	normal
cell_type2_346	cell_type2	disease
cell_type2_347	cell_type2	disease
cell_type2_348	cell_type2	normal
cell_type2_349	cell_type2	normal
cell_type2_350	cell_type2	normal
cell_type2_351	cell_type2	disease
cell_type2_352	cell_type2	disease
cell_type2_353	cell_type2	disease
cell_type2_354	cell_type2	disease
cell_type2_355	cell_type2	normal
cell_type2_356	cell_type2	disease
cell_type2_357	cell_type2	normal
cell_type2_358	cell_type2	disease
cell_type2_359	cell_type2	disease
cell_type2_360	cell_type2	disease
cell_type2_361	cell_type2	disease
cell_type2_362	cell_type2	disease
cell_type2_363	cell_type2	disease
cell_type2_364	cell_type2	normal
cell_type2_365	cell_type2	disease
cell_type2_366	cell_type2	normal
cell_type2_367	cell_type2	normal
cell_type2_368	cell_type2	normal
cell_type2_369	cell_type2	disease
cell_type2_370	cell_type2	disease
cell_type2_371	cell_type2	disease
cell_type2_372	cell_type2	disease
cell_type2_373	cell_type2	disease
cell_type2_374	cell_type2	disease
cell_type2_375	cell_type2	disease
cell_type2_376	cell_type2	normal
cell_type2_377	cell_type2	disease
cell_type2_378	cell_type2	disease
cell_type2_379	cell_type2	normal
cell_type2_380	cell_type2	disease
cell_type2_381	cell_type2	disease
cell_type2_382	cell_type2	disease
cell_type2_383	cell_type2	disease
cell_type2_384	cell_type2	disease
cell_type2_385	cell_type2	disease
cell_type2_386	cell_type2	disease
cell_type2_387	cell_type2	normal
cell_type2_388	cell_type2	disease
cell_type2_389	cell_type2	normal
cell_type2_390	cell_type2	normal
cell_type2_391	cell_type2	normal
cell_type2_392	cell_type2	normal
cell_type2_393	cell_type2	disease
cell_type2_394	cell_type2	disease
cell_type2_395	cell_type2	disease
cell_type2_396	cell_type2	disease
cell_type2_397	cell_type2	disease
cell_type2_398	cell_type2	disease
cell_type2_399	cell_type2	disease
cell_type2_400	cell_type2	normal
cell_type2_401	cell_type2	disease
cell_type2_402	cell_type2	disease
cell_type2_403	cell_type2	disease
cell_type2_404	cell_type2	normal
cell_type2_405	cell_type2	disease
cell_type2_406	cell_type2	disease
cell_type2_407	cell_type2	disease
cell_type2_408	cell_type2	normal
cell_type2_409	cell_type2	disease
cell_type2_410	cell_type2	normal
cell_type2_411	cell_type2	disease
cell_type2_412	cell_type2	disease
cell_type2_413	cell_type2	disease
cell_type2_414	cell_type2	disease
cell_type2_415	cell_type2	normal
cell_type2_416	cell_type2	disease
cell_type2_417	cell_type2	disease
cell_type2_418	cell_type2	disease
cell_type2_419	cell_type2	disease
cell_type2_420	cell_type2	normal
cell_type2_421	cell_type2	disease
cell_type2_422	cell_type2	disease
cell_type2_423	cell_type2	disease
cell_type2_424	cell_type2	normal
cell_type2_425	cell_type2	normal
cell_type2_426	cell_type2	disease
cell_type2_427	cell_type2	normal
cell_type2_428	cell_type2	normal
cell_type2_429	cell_type2	disease
cell_type2_430	cell_type2	disease
cell_type2_431	cell_type2	disease
cell_type2_432	cell_type2	normal
cell_type2_433	cell_type2	disease
cell_type2_434	cell_type2	normal
cell_type2_435	cell_type2	disease
cell_type2_436	cell_type2	normal
cell_type2_437	cell_type2	disease
cell_type2_438	cell_type2	disease
cell_type2_439	cell_type2	disease
cell_type2_440	cell_type2	disease
cell_type2_441	cell_type2	normal
cell_type2_442	cell_type2	disease
cell_type2_443	cell_type2	disease
cell_type2_444	cell_type2	disease
cell_type2_445	cell_type2	normal
cell_type2_446	cell_type2	disease
cell_type2_447	cell_type2	disease
cell_type2_448	cell_type2	disease
cell_type2_449	cell_type2	disease
cell_type2_450	cell_type2	disease
cell_type2_451	cell_type2	disease
cell_type2_452	cell_type2	normal
cell_type2_453	cell_type2	disease
cell_type2_454	cell_type2	disease
cell_type2_455	cell_type2	normal
cell_type2_456	cell_type2	disease
cell_type2_457	cell_type2	normal
cell_type2_458	cell_type2	normal
cell_type2_459	cell_type2	disease
cell_type2_460	cell_type2	normal
cell_type2_461	cell_type2	normal
cell_type2_462	cell_type2	normal
cell_type2_463	cell_type2	disease
cell_type2_464	cell_type2	disease
cell_type2_465	cell_type2	disease
cell_type2_466	cell_type2	normal
cell_type2_467	cell_type2	normal
cell_type2_468	cell_type2	disease
cell_type2_469	cell_type2	disease
cell_type2_470	cell_type2	disease
cell_type2_471	cell_type2	normal
cell_type2_472	cell_type2	disease
cell_type2_473	cell_type2	normal
cell_type2_474	cell_type2	disease
cell_type2_475	cell_type2	disease
cell_type2_476	cell_type2	disease
cell_type2_477	cell_type2	disease
cell_type2_478	cell_type2	normal
cell_type2_479	cell_type2	normal
cell_type2_480	cell_type2	disease
cell_type2_481	cell_type2	disease
cell_type2_482	cell_type2	normal
cell_type2_483	cell_type2	normal
cell_type2_484	cell_type2	disease
cell_type2_485	cell_type2	disease
cell_type2_486	cell_type2	disease
cell_type2_487	cell_type2	disease
cell_type2_488	cell_type2	disease
cell_type2_489	cell_type2	normal
cell_type2_490	cell_type2	disease
cell_type2_491	cell_type2	disease
cell_type2_492	cell_type2	normal
cell_type2_493	cell_type2	normal
cell_type2_494	cell_type2	normal
cell_type2_495	cell_type2	disease
cell_type2_496	cell_type2	disease
cell_type2_497	cell_type2	disease
cell_type2_498	cell_type2	disease
cell_type2_499	cell_type2	disease
cell_type2_500	cell_type2	normal
cell_type2_501	cell_type2	disease
cell_type2_502	cell_type2	disease
cell_type2_503	cell_type2	normal
cell_type2_504	cell_type2	normal
cell_type2_505	cell_type2	disease
cell_type2_506	cell_type2	disease
cell_type2_507	cell_type2	disease
cell_type2_508	cell_type2	disease
cell_type2_509	cell_type2	normal
cell_type2_510	cell_type2	disease
cell_type2_511	cell_type2	normal
cell_type2_512	cell_type2	disease
cell_type2_513	cell_type2	normal
cell_type2_514	cell_type2	normal
cell_type2_515	cell_type2	disease
cell_type2_516	cell_type2	disease
cell_type2_517	cell_type2	disease
cell_type2_518	cell_type2	disease
cell_type2_519	cell_type2	disease
cell_type2_520	cell_type2	disease
cell_type2_521	cell_type2	disease
cell_type2_522	cell_type2	disease
cell_type2_523	cell_type2	disease
cell_type2_524	cell_type2	disease
cell_type2_525	cell_type2	disease
cell_type2_526	cell_type2	disease
cell_type2_527	cell_type2	disease
cell_type2_528	cell_type2	disease
cell_type2_529	cell_type2	disease
cell_type2_530	cell_type2	normal
cell_type2_531	cell_type2	disease
cell_type2_532	cell_type2	normal
cell_type2_533	cell_type2	normal
cell_type2_534	cell_type2	normal
cell_type2_535	cell_type2	disease
cell_type2_536	cell_type2	normal
cell_type2_537	cell_type2	normal
cell_type2_538	cell_type2	normal
cell_type2_539	cell_type2	disease
cell_type2_540	cell_type2	normal
cell_type2_541	cell_type2	normal
cell_type2_542	cell_type2	disease
cell_type2_543	cell_type2	normal
cell_type2_544	cell_type2	disease
cell_type2_545	cell_type2	disease
cell_type2_546	cell_type2	normal
cell_type2_547	cell_type2	disease
cell_type2_548	cell_type2	disease
cell_type2_549	cell_type2	disease
cell_type2_550	cell_type2	disease
cell_type2_551	cell_type2	normal
cell_type2_552	cell_type2	disease
cell_type2_553	cell_type2	disease
cell_type2_554	cell_type2	disease
cell_type2_555	cell_type2	disease
cell_type2_556	cell_type2	disease
cell_type2_557	cell_type2	disease
cell_type2_558	cell_type2	normal
cell_type2_559	cell_type2	normal
cell_type2_560	cell_type2	disease
cell_type2_561	cell_type2	disease
cell_type2_562	cell_type2	disease
cell_type2_563	cell_type2	normal
cell_type2_564	cell_type2	disease
cell_type2_565	cell_type2	normal
cell_type2_566	cell_type2	disease
cell_type2_567	cell_type2	disease
cell_type2_568	cell_type2	disease
cell_type2_569	cell_type2	disease
cell_type2_570	cell_type2	disease
cell_type2_571	cell_type2	disease
cell_type2_572	cell_type2	normal
cell_type2_573	cell_type2	disease
cell_type2_574	cell_type2	disease
cell_type2_575	cell_type2	disease
cell_type2_576	cell_type2	normal
cell_type2_577	cell_type2	disease
cell_type2_578	cell_type2	disease
cell_type2_579	cell_type2	disease
cell_type2_580	cell_type2	disease
cell_type2_581	cell_type2	disease
cell_type2_582	cell_type2	disease
cell_type2_583	cell_type2	disease
cell_type2_584	cell_type2	disease
cell_type2_585	cell_type2	normal
cell_type2_586	cell_type2	disease
cell_type2_587	cell_type2	disease
cell_type2_588	cell_type2	normal
cell_type2_589	cell_type2	disease
cell_type2_590	cell_type2	disease
cell_type2_591	cell_type2	disease
cell_type2_592	cell_type2	disease
cell_type2_593	cell_type2	disease
cell_type2_594	cell_type2	disease
cell_type2_595	cell_type2	normal
cell_type2_596	cell_type2	normal
cell_type2_597	cell_type2	disease
cell_type2_598	cell_type2	disease
cell_type2_599	cell_type2	disease
cell_type2_600	cell_type2	disease
cell_type2_601	cell_type2	disease
cell_type2_602	cell_type2	normal
cell_type2_603	cell_type2	disease
cell_type2_604	cell_type2	disease
cell_type2_605	cell_type2	disease
cell_type2_606	cell_type2	disease
cell_type2_607	cell_type2	disease
cell_type2_608	cell_type2	disease
cell_type2_609	cell_type2	disease
cell_type2_610	cell_type2	disease
cell_type2_611	cell_type2	normal
cell_type2_612	cell_type2	disease
cell_type2_613	cell_type2	disease
cell_type2_614	cell_type2	disease
cell_type2_615	cell_type2	disease
cell_type2_616	cell_type2	disease
cell_type2_617	cell_type2	disease
cell_type2_618	cell_type2	normal
cell_type2_619	cell_type2	disease
cell_type2_620	cell_type2	disease
cell_type2_621	cell_type2	disease
cell_type2_622	cell_type2	disease
cell_type2_623	cell_type2	disease
cell_type2_624	cell_type2	disease
cell_type2_625	cell_type2	disease
cell_type2_626	cell_type2	disease
cell_type2_627	cell_type2	disease
cell_type2_628	cell_type2	disease
cell_type2_629	cell_type2	disease
cell_type2_630	cell_type2	disease
cell_type2_631	cell_type2	disease
cell_type2_632	cell_type2	disease
cell_type2_633	cell_type2	disease
cell_type2_634	cell_type2	disease
cell_type3_1	cell_type3	disease
cell_type3_2	cell_type3	disease
cell_type3_3	cell_type3	disease
cell_type3_4	cell_type3	normal
cell_type3_5	cell_type3	disease
cell_type3_6	cell_type3	disease
cell_type3_7	cell_type3	disease
cell_type3_8	cell_type3	normal
cell_type3_9	cell_type3	disease
cell_type3_10	cell_type3	disease
cell_type3_11	cell_type3	disease
cell_type3_12	cell_type3	normal
cell_type3_13	cell_type3	disease
cell_type3_14	cell_type3	disease
cell_type3_15	cell_type3	disease
cell_type3_16	cell_type3	normal
cell_type3_17	cell_type3	disease
cell_type3_18	cell_type3	disease
cell_type3_19	cell_type3	disease
cell_type3_20	cell_type3	disease
cell_type3_21	cell_type3	disease
cell_type3_22	cell_type3	normal
cell_type3_23	cell_type3	disease
cell_type3_24	cell_type3	disease
cell_type3_25	cell_type3	disease
cell_type3_26	cell_type3	disease
cell_type3_27	cell_type3	disease
cell_type3_28	cell_type3	disease
cell_type3_29	cell_type3	disease
cell_type3_30	cell_type3	disease
cell_type3_31	cell_type3	disease
cell_type3_32	cell_type3	disease
cell_type3_33	cell_type3	normal
cell_type3_34	cell_type3	disease
cell_type3_35	cell_type3	disease
cell_type3_36	cell_type3	disease
cell_type3_37	cell_type3	normal
cell_type3_38	cell_type3	disease
cell_type3_39	cell_type3	disease
cell_type3_40	cell_type3	disease
cell_type3_41	cell_type3	disease
cell_type3_42	cell_type3	disease
cell_type3_43	cell_type3	disease
cell_type3_44	cell_type3	normal
cell_type3_45	cell_type3	disease
cell_type3_46	cell_type3	normal
cell_type3_47	cell_type3	disease
cell_type3_48	cell_type3	disease
cell_type3_49	cell_type3	disease
cell_type3_50	cell_type3	normal
cell_type3_51	cell_type3	disease
cell_type3_52	cell_type3	normal
cell_type3_53	cell_type3	disease
cell_type3_54	cell_type3	disease
cell_type3_55	cell_type3	disease
cell_type3_56	cell_type3	normal
cell_type3_57	cell_type3	disease
cell_type3_58	cell_type3	disease
cell_type3_59	cell_type3	disease
cell_type3_60	cell_type3	normal
cell_type3_61	cell_type3	disease
cell_type3_62	cell_type3	disease
cell_type3_63	cell_type3	disease
cell_type3_64	cell_type3	disease
cell_type3_65	cell_type3	normal
cell_type3_66	cell_type3	normal
cell_type3_67	cell_type3	disease
cell_type3_68	cell_type3	disease
cell_type3_69	cell_type3	disease
cell_type3_70	cell_type3	disease
cell_type3_71	cell_type3	disease
cell_type3_72	cell_type3	normal
cell_type3_73	cell_type3	disease
cell_type3_74	cell_type3	normal
cell_type3_75	cell_type3	normal
cell_type3_76	cell_type3	disease
cell_type3_77	cell_type3	disease
cell_type3_78	cell_type3	normal
cell_type3_79	cell_type3	disease
cell_type3_80	cell_type3	disease
cell_type3_81	cell_type3	normal
cell_type3_82	cell_type3	disease
cell_type3_83	cell_type3	normal
cell_type3_84	cell_type3	normal
cell_type3_85	cell_type3	normal
cell_type3_86	cell_type3	disease
cell_type3_87	cell_type3	normal
cell_type3_88	cell_type3	disease
cell_type3_89	cell_type3	normal
cell_type3_90	cell_type3	normal
cell_type3_91	cell_type3	disease
cell_type3_92	cell_type3	disease
cell_type3_93	cell_type3	disease
cell_type3_94	cell_type3	disease
cell_type3_95	cell_type3	normal
cell_type3_96	cell_type3	disease
cell_type3_97	cell_type3	disease
cell_type3_98	cell_type3	disease
cell_type3_99	cell_type3	disease
cell_type3_100	cell_type3	disease
cell_type3_101	cell_type3	normal
cell_type3_102	cell_type3	disease
cell_type3_103	cell_type3	normal
cell_type3_104	cell_type3	disease
cell_type3_105	cell_type3	disease
cell_type3_106	cell_type3	disease
cell_type3_107	cell_type3	disease
cell_type3_108	cell_type3	normal
cell_type3_109	cell_type3	disease
cell_type3_110	cell_type3	disease
cell_type3_111	cell_type3	disease
cell_type3_112	cell_type3	normal
cell_type3_113	cell_type3	disease
cell_type3_114	cell_type3	normal
cell_type3_115	cell_type3	disease
cell_type3_116	cell_type3	disease
cell_type3_117	cell_type3	normal
cell_type3_118	cell_type3	disease
cell_type3_119	cell_type3	normal
cell_type3_120	cell_type3	disease
cell_type3_121	cell_type3	disease
cell_type3_122	cell_type3	disease
cell_type3_123	cell_type3	disease
cell_type3_124	cell_type3	disease
cell_type3_125	cell_type3	normal
cell_type3_126	cell_type3	disease
cell_type3_127	cell_type3	disease
cell_type3_128	cell_type3	normal
cell_type3_129	cell_type3	normal
cell_type3_130	cell_type3	disease
cell_type3_131	cell_type3	disease
cell_type3_132	cell_type3	disease
cell_type3_133	cell_type3	disease
cell_type3_134	cell_type3	normal
cell_type3_135	cell_type3	disease
cell_type3_136	cell_type3	disease
cell_type3_137	cell_type3	disease
cell_type3_138	cell_type3	disease
cell_type3_139	cell_type3	disease
cell_type3_140	cell_type3	disease
cell_type3_141	cell_type3	disease
cell_type3_142	cell_type3	disease
cell_type3_143	cell_type3	disease
cell_type3_144	cell_type3	disease
cell_type3_145	cell_type3	normal
cell_type3_146	cell_type3	disease
cell_type3_147	cell_type3	normal
cell_type3_148	cell_type3	disease
cell_type3_149	cell_type3	disease
cell_type3_150	cell_type3	disease
cell_type3_151	cell_type3	normal
cell_type3_152	cell_type3	disease
cell_type3_153	cell_type3	normal
cell_type3_154	cell_type3	normal
cell_type3_155	cell_type3	disease
cell_type3_156	cell_type3	normal
cell_type3_157	cell_type3	disease
cell_type3_158	cell_type3	disease
cell_type3_159	cell_type3	disease
cell_type3_160	cell_type3	disease
cell_type3_161	cell_type3	normal
cell_type3_162	cell_type3	disease
cell_type3_163	cell_type3	disease
cell_type3_164	cell_type3	disease
cell_type3_165	cell_type3	disease
cell_type3_166	cell_type3	disease
cell_type3_167	cell_type3	disease
cell_type3_168	cell_type3	disease
cell_type3_169	cell_type3	normal
cell_type3_170	cell_type3	normal
cell_type3_171	cell_type3	disease
cell_type3_172	cell_type3	disease
cell_type3_173	cell_type3	disease
cell_type3_174	cell_type3	disease
cell_type3_175	cell_type3	disease
cell_type3_176	cell_type3	normal
cell_type3_177	cell_type3	disease
cell_type3_178	cell_type3	disease
cell_type3_179	cell_type3	disease
cell_type3_180	cell_type3	normal
cell_type3_181	cell_type3	normal
cell_type3_182	cell_type3	normal
cell_type3_183	cell_type3	normal
cell_type3_184	cell_type3	normal
cell_type3_185	cell_type3	normal
cell_type3_186	cell_type3	normal
cell_type3_187	cell_type3	normal
cell_type3_188	cell_type3	normal
cell_type3_189	cell_type3	disease
cell_type3_190	cell_type3	normal
cell_type3_191	cell_type3	disease
cell_type3_192	cell_type3	disease
cell_type3_193	cell_type3	disease
cell_type3_194	cell_type3	normal
cell_type3_195	cell_type3	disease
cell_type3_196	cell_type3	disease
cell_type3_197	cell_type3	disease
cell_type3_198	cell_type3	disease
cell_type3_199	cell_type3	disease
cell_type3_200	cell_type3	normal
cell_type3_201	cell_type3	normal
cell_type3_202	cell_type3	normal
cell_type3_203	cell_type3	disease
cell_type3_204	cell_type3	disease
cell_type3_205	cell_type3	disease
cell_type3_206	cell_type3	disease
cell_type3_207	cell_type3	disease
cell_type3_208	cell_type3	disease
cell_type3_209	cell_type3	disease
cell_type3_210	cell_type3	disease
cell_type3_211	cell_type3	disease
cell_type3_212	cell_type3	disease
cell_type3_213	cell_type3	disease
cell_type3_214	cell_type3	disease
cell_type3_215	cell_type3	disease
cell_type3_216	cell_type3	normal
cell_type3_217	cell_type3	normal
cell_type3_218	cell_type3	normal
cell_type3_219	cell_type3	disease
cell_type3_220	cell_type3	disease
cell_type3_221	cell_type3	normal
cell_type3_222	cell_type3	disease
cell_type3_223	cell_type3	disease
cell_type3_224	cell_type3	normal
cell_type3_225	cell_type3	disease
cell_type3_226	cell_type3	disease
cell_type3_227	cell_type3	disease
cell_type3_228	cell_type3	normal
cell_type3_229	cell_type3	disease
cell_type3_230	cell_type3	normal
cell_type3_231	cell_type3	normal
cell_type3_232	cell_type3	disease
cell_type3_233	cell_type3	normal
cell_type3_234	cell_type3	disease
cell_type3_235	cell_type3	disease
cell_type3_236	cell_type3	normal
cell_type3_237	cell_type3	disease
cell_type3_238	cell_type3	normal
cell_type3_239	cell_type3	normal
cell_type3_240	cell_type3	normal
cell_type3_241	cell_type3	normal
cell_type3_242	cell_type3	normal
cell_type3_243	cell_type3	normal
cell_type3_244	cell_type3	normal
cell_type3_245	cell_type3	disease
cell_type3_246	cell_type3	disease
cell_type3_247	cell_type3	normal
cell_type3_248	cell_type3	normal
cell_type3_249	cell_type3	normal
cell_type3_250	cell_type3	disease
cell_type3_251	cell_type3	normal
cell_type3_252	cell_type3	disease
cell_type3_253	cell_type3	normal
cell_type3_254	cell_type3	disease
cell_type3_255	cell_type3	disease
cell_type3_256	cell_type3	disease
cell_type3_257	cell_type3	disease
cell_type3_258	cell_type3	normal
cell_type3_259	cell_type3	disease
cell_type3_260	cell_type3	disease
cell_type3_261	cell_type3	disease
cell_type3_262	cell_type3	normal
cell_type3_263	cell_type3	disease
cell_type3_264	cell_type3	disease
cell_type3_265	cell_type3	disease
cell_type3_266	cell_type3	disease
cell_type3_267	cell_type3	disease
cell_type3_268	cell_type3	disease
cell_type3_269	cell_type3	disease
cell_type3_270	cell_type3	disease
cell_type3_271	cell_type3	normal
cell_type3_272	cell_type3	disease
cell_type3_273	cell_type3	disease
cell_type3_274	cell_type3	disease
cell_type3_275	cell_type3	disease
cell_type3_276	cell_type3	disease
cell_type3_277	cell_type3	disease
cell_type3_278	cell_type3	disease
cell_type3_279	cell_type3	disease
cell_type3_280	cell_type3	disease
cell_type3_281	cell_type3	normal
cell_type3_282	cell_type3	disease
cell_type3_283	cell_type3	disease
cell_type3_284	cell_type3	disease
cell_type3_285	cell_type3	disease
cell_type3_286	cell_type3	disease
cell_type3_287	cell_type3	normal
cell_type3_288	cell_type3	disease
cell_type3_289	cell_type3	disease
cell_type3_290	cell_type3	disease
cell_type3_291	cell_type3	disease
cell_type3_292	cell_type3	disease
cell_type3_293	cell_type3	disease
cell_type3_294	cell_type3	normal
cell_type3_295	cell_type3	disease
cell_type3_296	cell_type3	disease
cell_type3_297	cell_type3	disease
cell_type3_298	cell_type3	disease
cell_type3_299	cell_type3	disease
cell_type3_300	cell_type3	disease
cell_type3_301	cell_type3	disease
cell_type3_302	cell_type3	disease
cell_type3_303	cell_type3	disease
cell_type3_304	cell_type3	disease
cell_type3_305	cell_type3	disease
cell_type3_306	cell_type3	disease
cell_type3_307	cell_type3	disease
cell_type3_308	cell_type3	disease
cell_type3_309	cell_type3	disease
cell_type3_310	cell_type3	normal
cell_type3_311	cell_type3	normal
cell_type3_312	cell_type3	normal
cell_type3_313	cell_type3	normal
cell_type3_314	cell_type3	normal
cell_type3_315	cell_type3	disease
cell_type3_316	cell_type3	disease
cell_type3_317	cell_type3	normal
cell_type3_318	cell_type3	disease
cell_type3_319	cell_type3	normal
cell_type3_320	cell_type3	normal
cell_type3_321	cell_type3	disease
cell_type3_322	cell_type3	disease
cell_type3_323	cell_type3	disease
cell_type3_324	cell_type3	disease
cell_type3_325	cell_type3	disease
cell_type3_326	cell_type3	normal
cell_type3_327	cell_type3	disease
cell_type3_328	cell_type3	disease
cell_type3_329	cell_type3	disease
cell_type3_330	cell_type3	disease
cell_type3_331	cell_type3	disease
cell_type3_332	cell_type3	disease
cell_type3_333	cell_type3	disease
cell_type3_334	cell_type3	normal
cell_type3_335	cell_type3	normal
cell_type3_336	cell_type3	disease
cell_type3_337	cell_type3	normal
cell_type3_338	cell_type3	disease
cell_type3_339	cell_type3	disease
cell_type3_340	cell_type3	disease
cell_type3_341	cell_type3	disease
cell_type3_342	cell_type3	disease
cell_type3_343	cell_type3	disease
cell_type3_344	cell_type3	disease
cell_type3_345	cell_type3	disease
cell_type3_346	cell_type3	disease
cell_type3_347	cell_type3	disease
cell_type3_348	cell_type3	normal
cell_type3_349	cell_type3	disease
cell_type3_350	cell_type3	disease
cell_type3_351	cell_type3	disease
cell_type3_352	cell_type3	normal
cell_type3_353	cell_type3	disease
cell_type3_354	cell_type3	normal
cell_type3_355	cell_type3	disease
cell_type3_356	cell_type3	disease
cell_type3_357	cell_type3	normal
cell_type3_358	cell_type3	normal
cell_type3_359	cell_type3	normal
cell_type3_360	cell_type3	disease
cell_type3_361	cell_type3	disease
cell_type3_362	cell_type3	disease
cell_type3_363	cell_type3	disease
cell_type3_364	cell_type3	disease
cell_type3_365	cell_type3	disease
cell_type3_366	cell_type3	normal
cell_type3_367	cell_type3	normal
cell_type3_368	cell_type3	normal
cell_type3_369	cell_type3	normal
cell_type3_370	cell_type3	normal
cell_type3_371	cell_type3	disease
cell_type3_372	cell_type3	normal
cell_type3_373	cell_type3	disease
cell_type3_374	cell_type3	disease
cell_type3_375	cell_type3	disease
cell_type3_376	cell_type3	normal
cell_type3_377	cell_type3	disease
cell_type3_378	cell_type3	disease
cell_type3_379	cell_type3	normal
cell_type3_380	cell_type3	normal
cell_type3_381	cell_type3	disease
cell_type3_382	cell_type3	disease
cell_type3_383	cell_type3	disease
cell_type3_384	cell_type3	disease
cell_type3_385	cell_type3	disease
cell_type3_386	cell_type3	disease
cell_type3_387	cell_type3	disease
cell_type3_388	cell_type3	normal
cell_type3_389	cell_type3	disease
cell_type3_390	cell_type3	normal
cell_type3_391	cell_type3	disease
cell_type3_392	cell_type3	disease
cell_type3_393	cell_type3	normal
cell_type3_394	cell_type3	normal
cell_type3_395	cell_type3	disease
